API,Example,Bug
"
 torch. range ( start=0 ,  end ,  step=1 ,  * ,  out=None ,  dtype=None ,  layout=torch.strided ,  device=None ,  requires_grad=False )   → ¶","import numpy as np
import numpy
import torch
torch.range(1,4)
torch.range(1,4,0.5)","/home/nimashiri/.local/lib/python3.8/site-packages/torch/decorate_func.py:99: UserWarning: torch.range is deprecated and will be removed in a future release because its behavior is inconsistent with Python's range builtin. Instead, use torch.arange, which produces values in [start, end).
  outputs = func(*args, **kwargs)
"
"
 torch. polar ( abs ,  angle ,  * ,  out )   → ¶","import numpy as np
import numpy
import torch

abs=torch.tensor([1,2],dtype=torch.float64)
angle=torch.tensor([np.pi/2,5*np.pi/4],dtype=torch.float64)
z=torch.polar(abs,angle)","Traceback (most recent call last):
  File ""example.py"", line 2, in <module>
    importnumpyasnp
NameError: name 'importnumpyasnp' is not defined
"
"
 torch. argwhere ( input )   → ¶","import numpy as np
import numpy
import torch
t=torch.tensor([1,0,1])
torch.argwhere(t)
t=torch.tensor([[1,0,1],[0,1,1]])
torch.argwhere(t)
","Traceback (most recent call last):
  File ""example.py"", line 3, in <module>
    torch.argwhere(t)
AttributeError: module 'torch' has no attribute 'argwhere'
"
"
 torch. conj ( input )   → ¶","import numpy as np
import numpy
import torch
x=torch.tensor([-1+1j,-2+2j,3-3j])
x.is_conj()
y=torch.conj(x)
y.is_conj()
","Traceback (most recent call last):
  File ""example.py"", line 3, in <module>
    x.is_conj()
AttributeError: 'Tensor' object has no attribute 'is_conj'
"
"
 Tensor. index_add_ ( dim ,  index ,  source ,  * ,  alpha )   → ¶","import numpy as np
import numpy
import torch
x=torch.ones(5,3)
t=torch.tensor([[1,2,3],[4,5,6],[7,8,9]],dtype=torch.float)
index=torch.tensor([0,4,2])
x.index_add_(0,index,t)
x.index_add_(0,index,t,alpha=-1)

","Traceback (most recent call last):
  File ""example.py"", line 6, in <module>
    x.index_add_(0,index,t,alpha=-1)
  File ""/home/nimashiri/.local/lib/python3.8/site-packages/torch/decorate_func.py"", line 99, in wrapper
    outputs = func(*args, **kwargs)
TypeError: index_add_() got an unexpected keyword argument 'alpha'
"
"
 Tensor. index_reduce_ ( dim ,  index ,  source ,  reduce ,  * ,  include_self )   → ¶","import numpy as np
import numpy
import torch
x=torch.empty(5,3).fill_(2)
t=torch.tensor([[1,2,3],[4,5,6],[7,8,9],[10,11,12]],dtype=torch.float)
index=torch.tensor([0,4,2,0])
x.index_reduce_(0,index,t,'prod')

x=torch.empty(5,3).fill_(2)
x.index_reduce_(0,index,t,'prod',include_self=False)


","Traceback (most recent call last):
  File ""example.py"", line 5, in <module>
    x.index_reduce_(0,index,t,'prod')
AttributeError: 'Tensor' object has no attribute 'index_reduce_'
"
"
 torch. nonzero ( input ,  * ,  out ,  as_tuple )   → ¶","import numpy as np
import numpy
import torch
torch.nonzero(torch.tensor([1,1,1,0,1]))
torch.nonzero(torch.tensor([[0.6,0.0,0.0,0.0], [0.0,0.4,0.0,0.0], [0.0,0.0,1.2,0.0], [0.0,0.0,0.0,-0.4]]))
torch.nonzero(torch.tensor([1,1,1,0,1]),as_tuple=True)

torch.nonzero(torch.tensor([[0.6,0.0,0.0,0.0], [0.0,0.4,0.0,0.0], [0.0,0.0,1.2,0.0],[0.0,0.0,0.0,-0.4]]),as_tuple=True)

torch.nonzero(torch.tensor(5),as_tuple=True)
","  File ""example.py"", line 5
    torch.nonzero(torch.tensor([[0.6,0.0,0.0,0.0],
    ^
SyntaxError: invalid syntax
"
"
 Tensor. scatter_ ( dim ,  index ,  src ,  reduce )   → ¶","import numpy as np
import numpy
import torch
src=torch.arange(1,11).reshape((2,5))
index=torch.tensor([[0,1,2,0]])
torch.zeros(3,5,dtype=src.dtype).scatter_(0,index,src)

index=torch.tensor([[0,1,2],[0,1,4]])
torch.zeros(3,5,dtype=src.dtype).scatter_(1,index,src)

torch.full((2,4),2.).scatter_(1,torch.tensor([[2],[3]]),1.23,reduce='multiply')

torch.full((2,4),2.).scatter_(1,torch.tensor([[2],[3]]), 1.23,reduce='add')
","  File ""example.py"", line 8
    [0, 0, 0, 0, 0]])torch.full((2,4),2.).scatter_(1,torch.tensor([[2],[3]]),
    ^
IndentationError: unexpected indent
"
"
 torch. select_scatter ( input ,  src ,  dim ,  index )   → ¶","import numpy as np
import numpy
import torch
a=torch.zeros(2,2)
b=torch.ones(2)
a.select_scatter(b,0,0)

","Traceback (most recent call last):
  File ""example.py"", line 4, in <module>
    a.select_scatter(b,0,0)
AttributeError: 'Tensor' object has no attribute 'select_scatter'
"
"
 torch. slice_scatter ( input ,  src ,  dim ,  start ,  end ,  step )   → ¶","import numpy as np
import numpy
import torch
a=torch.zeros(8,8)
b=torch.ones(8)
a.slice_scatter(b,start=6)

b=torch.ones(2)
a.slice_scatter(b,dim=1,start=2,end=6,step=2)


","  File ""example.py"", line 5
    [1., 1., 1., 1., 1., 1., 1., 1.]])b=torch.ones(2)
    ^
IndentationError: unexpected indent
"
"
 Tensor. scatter_reduce_ ( dim ,  index ,  src ,  reduce ,  * ,  include_self )   → ¶","import numpy as np
import numpy
import torch
src=torch.tensor([1.,2.,3.,4.,5.,6.])
index=torch.tensor([0,1,0,1,2,1])
input1=torch.tensor([1.,2.,3.,4.])
input1.scatter_reduce(0,index,src,reduce=""sum"")

input1.scatter_reduce(0,index,src,reduce=""sum"",include_self=False)

input2=torch.tensor([5.,4.,3.,2.])
input2.scatter_reduce(0,index,src,reduce=""amax"")

input2.scatter_reduce(0,index,src,reduce=""amax"",include_self=False)
","Traceback (most recent call last):
  File ""example.py"", line 5, in <module>
    input.scatter_reduce(0,index,src,reduce=""sum"")
AttributeError: 'Tensor' object has no attribute 'scatter_reduce'
"
"
 torch. take ( input ,  index )   → ¶","import numpy as np
import numpy
import torch
src=torch.tensor([[4,3,5],[6,7,8]])
torch.take(src,torch.tensor([0,2,5]))
","  File ""example.py"", line 4
    
                                         ^
SyntaxError: unexpected EOF while parsing
"
"
 torch. take_along_dim ( input ,  indices ,  dim ,  * ,  out )   → ¶","
import numpy as np
import numpy
import torch
t=torch.tensor([[10,30,20],[60,40,50]])
max_idx=torch.argmax(t)
torch.take_along_dim(t,max_idx)

sorted_idx=torch.argsort(t,dim=1)
torch.take_along_dim(t,sorted_idx,dim=1)

","Traceback (most recent call last):
  File ""example.py"", line 4, in <module>
    torch.take_along_dim(t,max_idx)
AttributeError: module 'torch' has no attribute 'take_along_dim'
"
"
 torch. tensor_split ( input ,  indices_or_sections ,  dim )   → ¶","import numpy as np
import numpy
import torch
x=torch.arange(8)
torch.tensor_split(x,3)
x=torch.arange(7)
torch.tensor_split(x,3)

torch.tensor_split(x,(1,6))
x=torch.arange(14).reshape(2,7)


torch.tensor_split(x,3,dim=1)

torch.tensor_split(x,(1,6),dim=1)


","  File ""example.py"", line 4
    (tensor([0, 1, 2]), tensor([3, 4, 5]), tensor([6, 7]))x=torch.arange(7)
                                                          ^
SyntaxError: invalid syntax
"
"
 torch. bernoulli ( input ,  * ,  generator ,  out )   → ¶","import numpy as np
import numpy
import torch
a=torch.empty(3,3).uniform_(0,1)# generate a uniform random matrix with range [0, 1]

torch.bernoulli(a)

a=torch.ones(3,3)# probability of drawing ""1"" is 1
torch.bernoulli(a)

a=torch.zeros(3,3)# probability of drawing ""1"" is 0
torch.bernoulli(a)
","  File ""example.py"", line 5
    [ 1.,  1.,  1.]])a=torch.ones(3,3)# probability of drawing ""1"" is 1
    ^
IndentationError: unexpected indent
"
"
 torch. clamp ( input ,  min ,  max ,  * ,  out )   → ¶","
import numpy as np
import numpy
import torch
a=torch.randn(4)

torch.clamp(a,min=-0.5,max=0.5)
min=torch.linspace(-1,1,steps=4)
torch.clamp(a,min=min)
","  File ""example.py"", line 5
    tensor([-0.5000,  0.1734, -0.0478, -0.0922])min=torch.linspace(-1,1,steps=4)
                                                ^
SyntaxError: invalid syntax
"
"
 torch. conj_physical ( input ,  * ,  out )   → ¶","import numpy as np
import numpy
import torch
torch.conj_physical(torch.tensor([-1+1j,-2+2j,3-3j]))
","Traceback (most recent call last):
  File ""example.py"", line 2, in <module>
    torch.conj_physical(torch.tensor([-1+1j,-2+2j,3-3j]))
AttributeError: module 'torch' has no attribute 'conj_physical'
"
"
 torch. exp ( input ,  * ,  out )   → ¶","import numpy as np
import numpy
import torch
torch.exp(torch.tensor([0,math.log(2.)]))

","Traceback (most recent call last):
  File ""example.py"", line 2, in <module>
    torch.exp(torch.tensor([0,math.log(2.)]))
NameError: name 'math' is not defined
"
"
 torch. fake_quantize_per_channel_affine ( input ,  scale ,  zero_point ,  quant_min ,  quant_max )   → ¶","import numpy as np
import numpy
import torch
x=torch.randn(2,2,2)

scales=(torch.randn(2)+1)*0.05

zero_points=torch.zeros(2).to(torch.int32)

torch.fake_quantize_per_channel_affine(x,scales,zero_points,1,0,255)
","Traceback (most recent call last):
  File ""example.py"", line 8, in <module>
    torch.fake_quantize_per_channel_affine(x,scales,zero_points,1,0,255)
  File ""/home/nimashiri/.local/lib/python3.8/site-packages/torch/decorate_func.py"", line 99, in wrapper
    outputs = func(*args, **kwargs)
RuntimeError: Zero-point must be Long, found Int
"
"
 torch. float_power ( input ,  exponent ,  * ,  out )   → ¶","import numpy as np
import numpy
import torch
a=torch.randint(10,(4,))

torch.float_power(a,2)
a=torch.arange(1,5)

exp=torch.tensor([2,-3,4,-5])

torch.float_power(a,exp)

","  File ""example.py"", line 5
    tensor([36., 16., 49.,  1.], dtype=torch.float64)a=torch.arange(1,5)
                                                     ^
SyntaxError: invalid syntax
"
"
 torch. frexp ( input ,  * ,  out=None) ,  Tensor ) ¶","import numpy as np
import numpy
import torch
x=torch.arange(9.)
mantissa,exponent=torch.frexp(x)
torch.ldexp(mantissa,exponent)
","Traceback (most recent call last):
  File ""example.py"", line 3, in <module>
    mantissa,exponent=torch.frexp(x)
AttributeError: module 'torch' has no attribute 'frexp'
"
"
 torch. log10 ( input ,  * ,  out )   → ¶","import numpy as np
import numpy
import torch
a=torch.rand(5)
torch.log10(a)

","  File ""example.py"", line 4
    tensor([ 0.5224,  0.9354,  0.7257,  0.1301,  0.2251])torch.log10(a)
                                                         ^
SyntaxError: invalid syntax
"
"
 torch. log2 ( input ,  * ,  out )   → ¶","import numpy as np
import numpy
import torch
a=torch.rand(5)
torch.log2(a)

","  File ""example.py"", line 4
    tensor([ 0.8419,  0.8003,  0.9971,  0.5287,  0.0490])torch.log2(a)
                                                         ^
SyntaxError: invalid syntax
"
"
 torch. positive ( input )   → ¶","import numpy as np
import numpy
import torch
t=torch.randn(5)

torch.positive(t)

","Traceback (most recent call last):
  File ""example.py"", line 4, in <module>
    torch.positive(t)
AttributeError: module 'torch' has no attribute 'positive'
"
"
 torch. pow ( input ,  exponent ,  * ,  out )   → ¶","import numpy as np
import numpy
import torch
a=torch.randn(4)

tensor([ 0.4331,  1.2475,  0.6834, -0.2791])
torch.pow(a,2)
tensor([ 0.1875,  1.5561,  0.4670,  0.0779])
exp=torch.arange(1.,5.)a=torch.arange(1.,5.)

torch.pow(a,exp)

","  File ""example.py"", line 5
    exp=torch.arange(1.,5.)a=torch.arange(1.,5.)
                           ^
SyntaxError: invalid syntax
"
"
 torch. round ( input ,  * ,  decimals ,  out )   → ¶","import numpy as np
import numpy
import torch
torch.round(torch.tensor((4.7,-2.3,9.1,-7.7)))
# Values equidistant from two integers are rounded towards the
#   the nearest even value (zero is treated as even)
torch.round(torch.tensor([-0.5,0.5,1.5,2.5]))
# A positive decimals argument rounds to the to that decimal place
torch.round(torch.tensor([0.1234567]),decimals=3)
# A negative decimals argument rounds to the left of the decimal
torch.round(torch.tensor([1200.1234567]),decimals=-3)


","Traceback (most recent call last):
  File ""example.py"", line 3, in <module>
    tensor([ 5.,  -2.,  9., -8.])# Values equidistant from two integers are rounded towards the
NameError: name 'tensor' is not defined
"
"
 torch. aminmax ( input ,  * ,  dim=None ,  keepdim=False ,  out=None) ,  Tensor ) ¶","import numpy as np
import numpy
import torch
torch.aminmax(torch.tensor([1,-3,5]))
","  File ""example.py"", line 3
    max=tensor(5))# aminmax propagates NaNs
                 ^
SyntaxError: unmatched ')'
"
"
 torch. nanmean ( input ,  dim ,  keepdim ,  * ,  dtype ,  out )   → ¶","import numpy as np
import numpy
import torch
x=torch.tensor([[torch.nan,1,2],[1,2,3]])
x.mean()

x.nanmean()

x.mean(dim=0)

x.nanmean(dim=0)

torch.tensor([torch.nan]).nanmean()
","Traceback (most recent call last):
  File ""example.py"", line 2, in <module>
    x=torch.tensor([[torch.nan,1,2],[1,2,3]])
AttributeError: module 'torch' has no attribute 'nan'
"
"
 torch. norm ( input ,  p ,  dim ,  keepdim ,  out ,  dtype ) [source] ¶","import numpy as np
import numpy
import torch
import torch
a=torch.arange(9,dtype=torch.float)-4
b=a.reshape((3,3))
torch.norm(a)

torch.norm(b)

torch.norm(a,float('inf'))

torch.norm(b,float('inf'))

c=torch.tensor([[1,2,3],[-1,1,4]],dtype=torch.float)
torch.norm(c,dim=0)

torch.norm(c,dim=1)

torch.norm(c,p=1,dim=1)

d=torch.arange(8,dtype=torch.float).reshape(2,2,2)
torch.norm(d,dim=(1,2))

torch.norm(d[0,:,:]),torch.norm(d[1,:,:])

","Traceback (most recent call last):
  File ""example.py"", line 2, in <module>
    importtorch
NameError: name 'importtorch' is not defined
"
"
 torch. quantile ( input ,  q ,  dim ,  keepdim ,  * ,  interpolation ,  out )   → ¶","import numpy as np
import numpy
import torch
a=torch.randn(2,3)

q=torch.tensor([0.25,0.5,0.75])
torch.quantile(a,q,dim=1,keepdim=True)

torch.quantile(a,q,dim=1,keepdim=True).shape
torch.Size([3, 2, 1])
a=torch.arange(4.)

torch.quantile(a,0.6,interpolation='linear')

torch.quantile(a,0.6,interpolation='lower')

torch.quantile(a,0.6,interpolation='higher')

torch.quantile(a,0.6,interpolation='midpoint')

torch.quantile(a,0.6,interpolation='nearest')

torch.quantile(a,0.4,interpolation='nearest')

","Traceback (most recent call last):
  File ""example.py"", line 9, in <module>
    torch.quantile(a,0.6,interpolation='linear')
  File ""/home/nimashiri/.local/lib/python3.8/site-packages/torch/decorate_func.py"", line 99, in wrapper
    outputs = func(*args, **kwargs)
TypeError: quantile() received an invalid combination of arguments - got (Tensor, float, interpolation=str), but expected one of:
 * (Tensor input, Tensor q, int dim, bool keepdim, *, Tensor out)
 * (Tensor input, float q, int dim, bool keepdim, *, Tensor out)

"
"
 torch. unique ( input ,  sorted ,  return_inverse ,  return_counts ,  dim )   → ¶","import numpy as np
import numpy
import torch
output=torch.unique(torch.tensor([1,3,2,3],dtype=torch.long))

output,inverse_indices=torch.unique(torch.tensor([1,3,2,3],dtype=torch.long),sorted=True,return_inverse=True)

output,inverse_indices=torch.unique(torch.tensor([[1,3],[2,3]],dtype=torch.long),sorted=True,return_inverse=True)
","  File ""example.py"", line 4
    tensor([1, 2, 3])output,inverse_indices=torch.unique(
                     ^
SyntaxError: invalid syntax
"
"
 torch. unique_consecutive ( * ,  ** ) ¶","
import numpy as np
import numpy
import torch
x=torch.tensor([1,1,2,2,3,1,1,2])
output=torch.unique_consecutive(x)

output,inverse_indices=torch.unique_consecutive(x,return_inverse=True)

output,counts=torch.unique_consecutive(x,return_counts=True)
","  File ""example.py"", line 5
    tensor([1, 2, 3, 1, 2])output,inverse_indices=torch.unique_consecutive(x,return_inverse=True)
                           ^
SyntaxError: invalid syntax
"
"
 torch. argsort ( input ,  dim ,  descending ,  stable )   → ¶","import numpy as np
import numpy
import torch

a = torch.randn(4, 4)
torch.argsort(a, dim=1)
","  File ""example.py"", line 4
    [ 0.0669, -0.2318, -0.8229, -0.9280]])torch.argsort(a,dim=1)
    ^
IndentationError: unexpected indent
"
"
 torch. kthvalue ( input ,  k ,  dim ,  keepdim ,  * ,  out ) ¶","import numpy as np
import numpy
import torch
x=torch.arange(1.,6.)

torch.kthvalue(x,4)
x=torch.arange(1.,7.).resize_(2,3)

torch.kthvalue(x,2,0,True)
","  File ""example.py"", line 5
    torch.return_types.kthvalue(values=tensor(4.), indices=tensor(3))x=torch.arange(1.,7.).resize_(2,3)
                                                                     ^
SyntaxError: invalid syntax
"
"
 torch. sort ( input ,  dim ,  descending ,  stable ,  * ,  out ) ¶","
import numpy as np
import numpy
import torch
x=torch.randn(3,4)
sorted,indices=torch.sort(x)

sorted,indices=torch.sort(x,0)


","  File ""example.py"", line 6
    [ 0,  3,  1,  2]])sorted,indices=torch.sort(x,0)
    ^
IndentationError: unexpected indent
"
"
 torch. bincount ( input ,  weights ,  minlength )   → ¶","
import numpy as np
import numpy
import torch
input1=torch.randint(0,8,(5,),dtype=torch.int64)
weights=torch.linspace(0,1,steps=5)
torch.bincount(input1)
input1.bincount(weights)
","  File ""example.py"", line 5
    tensor([ 0.0000,  0.2500,  0.5000,  0.7500,  1.0000])torch.bincount(input)
    ^
IndentationError: unexpected indent
"
"
 torch. block_diag ( * ) [source] ¶","import numpy as np
import numpy
import torch

A=torch.tensor([[0,1],[1,0]])
B=torch.tensor([[3,4,5],[6,7,8]])
C=torch.tensor(7)
D=torch.tensor([1,2,3])
E=torch.tensor([[4],[5],[6]])
torch.block_diag(A,B,C,D,E)
","Traceback (most recent call last):
  File ""example.py"", line 2, in <module>
    importtorch
NameError: name 'importtorch' is not defined
"
"
 torch. cartesian_prod ( * ) [source] ¶","import numpy as np
import numpy
import torch
import itertools
a=[1,2,3]
b=[4,5]
list(itertools.product(a,b))
[(1, 4), (1, 5), (2, 4), (2, 5), (3, 4), (3, 5)]
tensor_a=torch.tensor(a)
tensor_b=torch.tensor(b)
torch.cartesian_prod(tensor_a,tensor_b)
","Traceback (most recent call last):
  File ""example.py"", line 2, in <module>
    importitertools
NameError: name 'importitertools' is not defined
"
"
 torch. combinations ( input ,  r ,  with_replacement )   → ¶","import numpy as np
import numpy
import torch
a=[1,2,3]

tensor_a=torch.tensor(a)
torch.combinations(tensor_a)

torch.combinations(tensor_a,r=3)

torch.combinations(tensor_a,with_replacement=True)","Traceback (most recent call last):
  File ""example.py"", line 3, in <module>
    list(itertools.combinations(a,r=2))
NameError: name 'itertools' is not defined
"
"
 torch. corrcoef ( input )   → ¶","import numpy as np
import numpy
import torch
x=torch.tensor([[0,1,2],[2,1,0]])
torch.corrcoef(x)

x=torch.randn(2,4)

torch.corrcoef(x)

torch.corrcoef(x[0])
","Traceback (most recent call last):
  File ""example.py"", line 3, in <module>
    torch.corrcoef(x)
AttributeError: module 'torch' has no attribute 'corrcoef'
"
"
 torch. cumprod ( input ,  dim ,  * ,  dtype ,  out )   → ¶","import numpy as np
import numpy
import torch
a=torch.randn(10)

torch.cumprod(a,dim=0)

torch.cumprod(a,dim=0)

","  File ""example.py"", line 5
    0.0014, -0.0006, -0.0001])a[5]=0.0
    ^
IndentationError: unexpected indent
"
"
 torch. diag_embed ( input ,  offset ,  dim1 ,  dim2 )   → ¶","import numpy as np
import numpy
import torch
a=torch.randn(2,3)
torch.diag_embed(a)

torch.diag_embed(a,offset=1,dim1=0,dim2=2)
","  File ""example.py"", line 4
    [ 0.0000,  0.0000, -1.3986]]])torch.diag_embed(a,offset=1,dim1=0,dim2=2)
    ^
IndentationError: unexpected indent
"
"
 torch. flatten ( input ,  start_dim ,  end_dim )   → ¶","import numpy as np
import numpy
import torch
t=torch.tensor([[[1,2],[3,4]],[[5,6],[7,8]]])
torch.flatten(t)

torch.flatten(t,start_dim=1)
","  File ""example.py"", line 4
    torch.flatten(t,start_dim=1)
    ^
SyntaxError: invalid syntax
"
"
 torch. rot90 ( input ,  k ,  dims )   → ¶","import numpy as np
import numpy
import torch
x=torch.arange(4).view(2,2)

torch.rot90(x,1,[0,1])
tensor([[1, 3],
x=torch.arange(8).view(2,2,2)

torch.rot90(x,1,[1,2])
","  File ""example.py"", line 5
    [0, 2]])x=torch.arange(8).view(2,2,2)
    ^
IndentationError: unexpected indent
"
"
 torch. histogram ( input ,  bins ,  * ,  range ,  weight ,  density ,  out ) ¶","import numpy as np
import numpy
import torch
torch.histogram(torch.tensor([1.,2,1]),bins=4,range=(0.,3.),weight=torch.tensor([1.,2.,4.]))

torch.histogram(torch.tensor([1.,2,1]),bins=4,range=(0.,3.),weight=torch.tensor([1.,2.,4.]),density=True)

","Traceback (most recent call last):
  File ""example.py"", line 2, in <module>
    torch.histogram(torch.tensor([1.,2,1]),bins=4,range=(0.,3.),weight=torch.tensor([1.,2.,4.]))
AttributeError: module 'torch' has no attribute 'histogram'
"
"
 torch. meshgrid ( * ,  indexing ) [source] ¶","import numpy as np
import numpy
import torch
x=torch.tensor([1,2,3])
y=torch.tensor([4,5,6])

grid_x,grid_y=torch.meshgrid(x,y,indexing='ij')


torch.equal(torch.cat(tuple(torch.dstack([grid_x,grid_y]))),torch.cartesian_prod(x,y))

xs=torch.linspace(-5,5,steps=100)
ys=torch.linspace(-5,5,steps=100)
x,y=torch.meshgrid(xs,ys,indexing='xy')
z=torch.sin(torch.sqrt(x*x+y*y))

","  File ""example.py"", line 3
    y=torch.tensor([4,5,6])Observe the element-wise pairings across the grid, (1, 4),
                           ^
SyntaxError: invalid syntax
"
"
 torch. ravel ( input )   → ¶","
import numpy as np
import numpy
import torch
t=torch.tensor([[[1,2],[3,4]],[[5,6],[7,8]]])
torch.ravel(t)
","  File ""example.py"", line 4
    
                  ^
SyntaxError: unexpected EOF while parsing
"
