API,Example,Bug
"
 torch. ones ( *size ,  * ,  out=None ,  dtype=None ,  layout=torch.strided ,  device=None ,  requires_grad=False )   → ¶",">>> torch.ones(2,3)
tensor([[ 1.,  1.,  1.],
        [ 1.,  1.,  1.]])>>> torch.ones(5)
tensor([ 1.,  1.,  1.,  1.,  1.])
","  File ""example.py"", line 3
    [ 1.,  1.,  1.]])torch.ones(5)
    ^
IndentationError: unexpected indent
"
"
 torch. range ( start=0 ,  end ,  step=1 ,  * ,  out=None ,  dtype=None ,  layout=torch.strided ,  device=None ,  requires_grad=False )   → ¶",">>> torch.range(1,4)
tensor([ 1.,  2.,  3.,  4.])
>>> torch.range(1,4,0.5)
tensor([ 1.0000,  1.5000,  2.0000,  2.5000,  3.0000,  3.5000,  4.0000])
","/home/nimashiri/.local/lib/python3.8/site-packages/torch/decorate_func.py:99: UserWarning: torch.range is deprecated and will be removed in a future release because its behavior is inconsistent with Python's range builtin. Instead, use torch.arange, which produces values in [start, end).
  outputs = func(*args, **kwargs)
"
"
 torch. polar ( abs ,  angle ,  * ,  out )   → ¶",">>> importnumpyasnp
>>> abs=torch.tensor([1,2],dtype=torch.float64)
>>> angle=torch.tensor([np.pi/2,5*np.pi/4],dtype=torch.float64)
>>> z=torch.polar(abs,angle)
>>> z
tensor([(0.0000+1.0000j), (-1.4142-1.4142j)], dtype=torch.complex128)
","Traceback (most recent call last):
  File ""example.py"", line 2, in <module>
    importnumpyasnp
NameError: name 'importnumpyasnp' is not defined
"
"
 torch. argwhere ( input )   → ¶",">>> t=torch.tensor([1,0,1])
>>> torch.argwhere(t)
tensor([[0],
        [2]])
>>> t=torch.tensor([[1,0,1],[0,1,1]])
>>> torch.argwhere(t)
tensor([[0, 0],
        [0, 2],
        [1, 1],
        [1, 2]])
","Traceback (most recent call last):
  File ""example.py"", line 3, in <module>
    torch.argwhere(t)
AttributeError: module 'torch' has no attribute 'argwhere'
"
"
 torch. conj ( input )   → ¶",">>> x=torch.tensor([-1+1j,-2+2j,3-3j])
>>> x.is_conj()
False
>>> y=torch.conj(x)
>>> y.is_conj()
True
","Traceback (most recent call last):
  File ""example.py"", line 3, in <module>
    x.is_conj()
AttributeError: 'Tensor' object has no attribute 'is_conj'
"
"
 Tensor. index_add_ ( dim ,  index ,  source ,  * ,  alpha )   → ¶",">>> x=torch.ones(5,3)
>>> t=torch.tensor([[1,2,3],[4,5,6],[7,8,9]],dtype=torch.float)
>>> index=torch.tensor([0,4,2])
>>> x.index_add_(0,index,t)
tensor([[  2.,   3.,   4.],
        [  1.,   1.,   1.],
        [  8.,   9.,  10.],
        [  1.,   1.,   1.],
        [  5.,   6.,   7.]])
>>> x.index_add_(0,index,t,alpha=-1)
tensor([[  1.,   1.,   1.],
        [  1.,   1.,   1.],
        [  1.,   1.,   1.],
        [  1.,   1.,   1.],
        [  1.,   1.,   1.]])
","Traceback (most recent call last):
  File ""example.py"", line 6, in <module>
    x.index_add_(0,index,t,alpha=-1)
  File ""/home/nimashiri/.local/lib/python3.8/site-packages/torch/decorate_func.py"", line 99, in wrapper
    outputs = func(*args, **kwargs)
TypeError: index_add_() got an unexpected keyword argument 'alpha'
"
"
 Tensor. index_reduce_ ( dim ,  index ,  source ,  reduce ,  * ,  include_self )   → ¶",">>> x=torch.empty(5,3).fill_(2)
>>> t=torch.tensor([[1,2,3],[4,5,6],[7,8,9],[10,11,12]],dtype=torch.float)
>>> index=torch.tensor([0,4,2,0])
>>> x.index_reduce_(0,index,t,'prod')
tensor([[20., 44., 72.],
        [ 2.,  2.,  2.],
        [14., 16., 18.],
        [ 2.,  2.,  2.],
        [ 8., 10., 12.]])
>>> x=torch.empty(5,3).fill_(2)
>>> x.index_reduce_(0,index,t,'prod',include_self=False)
tensor([[10., 22., 36.],
        [ 2.,  2.,  2.],
        [ 7.,  8.,  9.],
        [ 2.,  2.,  2.],
        [ 4.,  5.,  6.]])
","Traceback (most recent call last):
  File ""example.py"", line 5, in <module>
    x.index_reduce_(0,index,t,'prod')
AttributeError: 'Tensor' object has no attribute 'index_reduce_'
"
"
 torch. nonzero ( input ,  * ,  out ,  as_tuple )   → ¶",">>> torch.nonzero(torch.tensor([1,1,1,0,1]))
tensor([[ 0],
        [ 1],
        [ 2],
        [ 4]])
>>> torch.nonzero(torch.tensor([[0.6,0.0,0.0,0.0],
... [0.0,0.4,0.0,0.0],
... [0.0,0.0,1.2,0.0],
... [0.0,0.0,0.0,-0.4]]))
tensor([[ 0,  0],
        [ 1,  1],
        [ 2,  2],
        [ 3,  3]])
>>> torch.nonzero(torch.tensor([1,1,1,0,1]),as_tuple=True)
(tensor([0, 1, 2, 4]),)
>>> torch.nonzero(torch.tensor([[0.6,0.0,0.0,0.0],
... [0.0,0.4,0.0,0.0],
... [0.0,0.0,1.2,0.0],
... [0.0,0.0,0.0,-0.4]]),as_tuple=True)
(tensor([0, 1, 2, 3]), tensor([0, 1, 2, 3]))
>>> torch.nonzero(torch.tensor(5),as_tuple=True)
(tensor([0]),)
","  File ""example.py"", line 5
    torch.nonzero(torch.tensor([[0.6,0.0,0.0,0.0],
    ^
SyntaxError: invalid syntax
"
"
 Tensor. scatter_ ( dim ,  index ,  src ,  reduce )   → ¶",">>> src=torch.arange(1,11).reshape((2,5))
>>> src
tensor([[ 1,  2,  3,  4,  5],
        [ 6,  7,  8,  9, 10]])
>>> index=torch.tensor([[0,1,2,0]])
>>> torch.zeros(3,5,dtype=src.dtype).scatter_(0,index,src)
tensor([[1, 0, 0, 4, 0],
        [0, 2, 0, 0, 0],
        [0, 0, 3, 0, 0]])
>>> index=torch.tensor([[0,1,2],[0,1,4]])
>>> torch.zeros(3,5,dtype=src.dtype).scatter_(1,index,src)
tensor([[1, 2, 3, 0, 0],
        [6, 7, 0, 0, 8],
        [0, 0, 0, 0, 0]])>>> torch.full((2,4),2.).scatter_(1,torch.tensor([[2],[3]]),
... 1.23,reduce='multiply')
tensor([[2.0000, 2.0000, 2.4600, 2.0000],
        [2.0000, 2.0000, 2.0000, 2.4600]])
>>> torch.full((2,4),2.).scatter_(1,torch.tensor([[2],[3]]),
... 1.23,reduce='add')
tensor([[2.0000, 2.0000, 3.2300, 2.0000],
        [2.0000, 2.0000, 2.0000, 3.2300]])
","  File ""example.py"", line 8
    [0, 0, 0, 0, 0]])torch.full((2,4),2.).scatter_(1,torch.tensor([[2],[3]]),
    ^
IndentationError: unexpected indent
"
"
 torch. select_scatter ( input ,  src ,  dim ,  index )   → ¶",">>> a=torch.zeros(2,2)
>>> b=torch.ones(2)
>>> a.select_scatter(b,0,0)
tensor([[1., 1.],
        [0., 0.]])
","Traceback (most recent call last):
  File ""example.py"", line 4, in <module>
    a.select_scatter(b,0,0)
AttributeError: 'Tensor' object has no attribute 'select_scatter'
"
"
 torch. slice_scatter ( input ,  src ,  dim ,  start ,  end ,  step )   → ¶",">>> a=torch.zeros(8,8)
>>> b=torch.ones(8)
>>> a.slice_scatter(b,start=6)
tensor([[0., 0., 0., 0., 0., 0., 0., 0.],
        [0., 0., 0., 0., 0., 0., 0., 0.],
        [0., 0., 0., 0., 0., 0., 0., 0.],
        [0., 0., 0., 0., 0., 0., 0., 0.],
        [0., 0., 0., 0., 0., 0., 0., 0.],
        [0., 0., 0., 0., 0., 0., 0., 0.],
        [1., 1., 1., 1., 1., 1., 1., 1.],
        [1., 1., 1., 1., 1., 1., 1., 1.]])>>> b=torch.ones(2)
>>> a.slice_scatter(b,dim=1,start=2,end=6,step=2)
tensor([[0., 0., 1., 0., 1., 0., 0., 0.],
        [0., 0., 1., 0., 1., 0., 0., 0.],
        [0., 0., 1., 0., 1., 0., 0., 0.],
        [0., 0., 1., 0., 1., 0., 0., 0.],
        [0., 0., 1., 0., 1., 0., 0., 0.],
        [0., 0., 1., 0., 1., 0., 0., 0.],
        [0., 0., 1., 0., 1., 0., 0., 0.],
        [0., 0., 1., 0., 1., 0., 0., 0.]])
","  File ""example.py"", line 5
    [1., 1., 1., 1., 1., 1., 1., 1.]])b=torch.ones(2)
    ^
IndentationError: unexpected indent
"
"
 Tensor. scatter_reduce_ ( dim ,  index ,  src ,  reduce ,  * ,  include_self )   → ¶",">>> src=torch.tensor([1.,2.,3.,4.,5.,6.])
>>> index=torch.tensor([0,1,0,1,2,1])
>>> input=torch.tensor([1.,2.,3.,4.])
>>> input.scatter_reduce(0,index,src,reduce=""sum"")
tensor([5., 14., 8., 4.])
>>> input.scatter_reduce(0,index,src,reduce=""sum"",include_self=False)
tensor([4., 12., 5., 4.])
>>> input2=torch.tensor([5.,4.,3.,2.])
>>> input2.scatter_reduce(0,index,src,reduce=""amax"")
tensor([5., 6., 5., 2.])
>>> input2.scatter_reduce(0,index,src,reduce=""amax"",include_self=False)
tensor([3., 6., 5., 2.])
","Traceback (most recent call last):
  File ""example.py"", line 5, in <module>
    input.scatter_reduce(0,index,src,reduce=""sum"")
AttributeError: 'Tensor' object has no attribute 'scatter_reduce'
"
"
 torch. take ( input ,  index )   → ¶",">>> src=torch.tensor([[4,3,5],
... [6,7,8]])
>>> torch.take(src,torch.tensor([0,2,5]))
tensor([ 4,  5,  8])
","  File ""example.py"", line 4
    
                                         ^
SyntaxError: unexpected EOF while parsing
"
"
 torch. take_along_dim ( input ,  indices ,  dim ,  * ,  out )   → ¶",">>> t=torch.tensor([[10,30,20],[60,40,50]])
>>> max_idx=torch.argmax(t)
>>> torch.take_along_dim(t,max_idx)
tensor([60])
>>> sorted_idx=torch.argsort(t,dim=1)
>>> torch.take_along_dim(t,sorted_idx,dim=1)
tensor([[10, 20, 30],
        [40, 50, 60]])
","Traceback (most recent call last):
  File ""example.py"", line 4, in <module>
    torch.take_along_dim(t,max_idx)
AttributeError: module 'torch' has no attribute 'take_along_dim'
"
"
 torch. tensor_split ( input ,  indices_or_sections ,  dim )   → ¶",">>> x=torch.arange(8)
>>> torch.tensor_split(x,3)
(tensor([0, 1, 2]), tensor([3, 4, 5]), tensor([6, 7]))>>> x=torch.arange(7)
>>> torch.tensor_split(x,3)
(tensor([0, 1, 2]), tensor([3, 4]), tensor([5, 6]))
>>> torch.tensor_split(x,(1,6))
(tensor([0]), tensor([1, 2, 3, 4, 5]), tensor([6]))>>> x=torch.arange(14).reshape(2,7)
>>> x
tensor([[ 0,  1,  2,  3,  4,  5,  6],
        [ 7,  8,  9, 10, 11, 12, 13]])
>>> torch.tensor_split(x,3,dim=1)
(tensor([[0, 1, 2],
        [7, 8, 9]]),
 tensor([[ 3,  4],
        [10, 11]]),
 tensor([[ 5,  6],
        [12, 13]]))
>>> torch.tensor_split(x,(1,6),dim=1)
(tensor([[0],
        [7]]),
 tensor([[ 1,  2,  3,  4,  5],
        [ 8,  9, 10, 11, 12]]),
 tensor([[ 6],
        [13]]))
","  File ""example.py"", line 4
    (tensor([0, 1, 2]), tensor([3, 4, 5]), tensor([6, 7]))x=torch.arange(7)
                                                          ^
SyntaxError: invalid syntax
"
"
 torch. bernoulli ( input ,  * ,  generator ,  out )   → ¶",">>> a=torch.empty(3,3).uniform_(0,1)# generate a uniform random matrix with range [0, 1]
>>> a
tensor([[ 0.1737,  0.0950,  0.3609],
        [ 0.7148,  0.0289,  0.2676],
        [ 0.9456,  0.8937,  0.7202]])
>>> torch.bernoulli(a)
tensor([[ 1.,  0.,  0.],
        [ 0.,  0.,  0.],
        [ 1.,  1.,  1.]])>>> a=torch.ones(3,3)# probability of drawing ""1"" is 1
>>> torch.bernoulli(a)
tensor([[ 1.,  1.,  1.],
        [ 1.,  1.,  1.],
        [ 1.,  1.,  1.]])
>>> a=torch.zeros(3,3)# probability of drawing ""1"" is 0
>>> torch.bernoulli(a)
tensor([[ 0.,  0.,  0.],
        [ 0.,  0.,  0.],
        [ 0.,  0.,  0.]])
","  File ""example.py"", line 5
    [ 1.,  1.,  1.]])a=torch.ones(3,3)# probability of drawing ""1"" is 1
    ^
IndentationError: unexpected indent
"
"
 torch. clamp ( input ,  min ,  max ,  * ,  out )   → ¶",">>> a=torch.randn(4)
>>> a
tensor([-1.7120,  0.1734, -0.0478, -0.0922])
>>> torch.clamp(a,min=-0.5,max=0.5)
tensor([-0.5000,  0.1734, -0.0478, -0.0922])>>> min=torch.linspace(-1,1,steps=4)
>>> torch.clamp(a,min=min)
tensor([-1.0000,  0.1734,  0.3333,  1.0000])
","  File ""example.py"", line 5
    tensor([-0.5000,  0.1734, -0.0478, -0.0922])min=torch.linspace(-1,1,steps=4)
                                                ^
SyntaxError: invalid syntax
"
"
 torch. conj_physical ( input ,  * ,  out )   → ¶",">>> torch.conj_physical(torch.tensor([-1+1j,-2+2j,3-3j]))
tensor([-1 - 1j, -2 - 2j, 3 + 3j])
","Traceback (most recent call last):
  File ""example.py"", line 2, in <module>
    torch.conj_physical(torch.tensor([-1+1j,-2+2j,3-3j]))
AttributeError: module 'torch' has no attribute 'conj_physical'
"
"
 torch. exp ( input ,  * ,  out )   → ¶",">>> torch.exp(torch.tensor([0,math.log(2.)]))
tensor([ 1.,  2.])
","Traceback (most recent call last):
  File ""example.py"", line 2, in <module>
    torch.exp(torch.tensor([0,math.log(2.)]))
NameError: name 'math' is not defined
"
"
 torch. fake_quantize_per_channel_affine ( input ,  scale ,  zero_point ,  quant_min ,  quant_max )   → ¶",">>> x=torch.randn(2,2,2)
>>> x
tensor([[[-0.2525, -0.0466],
         [ 0.3491, -0.2168]],        [[-0.5906,  1.6258],
         [ 0.6444, -0.0542]]])
>>> scales=(torch.randn(2)+1)*0.05
>>> scales
tensor([0.0475, 0.0486])
>>> zero_points=torch.zeros(2).to(torch.int32)
>>> zero_points
tensor([0, 0])
>>> torch.fake_quantize_per_channel_affine(x,scales,zero_points,1,0,255)
tensor([[[0.0000, 0.0000],
         [0.3405, 0.0000]],        [[0.0000, 1.6134],
        [0.6323, 0.0000]]])
","Traceback (most recent call last):
  File ""example.py"", line 8, in <module>
    torch.fake_quantize_per_channel_affine(x,scales,zero_points,1,0,255)
  File ""/home/nimashiri/.local/lib/python3.8/site-packages/torch/decorate_func.py"", line 99, in wrapper
    outputs = func(*args, **kwargs)
RuntimeError: Zero-point must be Long, found Int
"
"
 torch. float_power ( input ,  exponent ,  * ,  out )   → ¶",">>> a=torch.randint(10,(4,))
>>> a
tensor([6, 4, 7, 1])
>>> torch.float_power(a,2)
tensor([36., 16., 49.,  1.], dtype=torch.float64)>>> a=torch.arange(1,5)
>>> a
tensor([ 1,  2,  3,  4])
>>> exp=torch.tensor([2,-3,4,-5])
>>> exp
tensor([ 2, -3,  4, -5])
>>> torch.float_power(a,exp)
tensor([1.0000e+00, 1.2500e-01, 8.1000e+01, 9.7656e-04], dtype=torch.float64)
","  File ""example.py"", line 5
    tensor([36., 16., 49.,  1.], dtype=torch.float64)a=torch.arange(1,5)
                                                     ^
SyntaxError: invalid syntax
"
"
 torch. frexp ( input ,  * ,  out=None) ,  Tensor ) ¶",">>> x=torch.arange(9.)
>>> mantissa,exponent=torch.frexp(x)
>>> mantissa
tensor([0.0000, 0.5000, 0.5000, 0.7500, 0.5000, 0.6250, 0.7500, 0.8750, 0.5000])
>>> exponent
tensor([0, 1, 2, 2, 3, 3, 3, 3, 4], dtype=torch.int32)
>>> torch.ldexp(mantissa,exponent)
tensor([0., 1., 2., 3., 4., 5., 6., 7., 8.])
","Traceback (most recent call last):
  File ""example.py"", line 3, in <module>
    mantissa,exponent=torch.frexp(x)
AttributeError: module 'torch' has no attribute 'frexp'
"
"
 torch. log10 ( input ,  * ,  out )   → ¶",">>> a=torch.rand(5)
>>> a
tensor([ 0.5224,  0.9354,  0.7257,  0.1301,  0.2251])>>> torch.log10(a)
tensor([-0.2820, -0.0290, -0.1392, -0.8857, -0.6476])
","  File ""example.py"", line 4
    tensor([ 0.5224,  0.9354,  0.7257,  0.1301,  0.2251])torch.log10(a)
                                                         ^
SyntaxError: invalid syntax
"
"
 torch. log2 ( input ,  * ,  out )   → ¶",">>> a=torch.rand(5)
>>> a
tensor([ 0.8419,  0.8003,  0.9971,  0.5287,  0.0490])>>> torch.log2(a)
tensor([-0.2483, -0.3213, -0.0042, -0.9196, -4.3504])
","  File ""example.py"", line 4
    tensor([ 0.8419,  0.8003,  0.9971,  0.5287,  0.0490])torch.log2(a)
                                                         ^
SyntaxError: invalid syntax
"
"
 torch. positive ( input )   → ¶",">>> t=torch.randn(5)
>>> t
tensor([ 0.0090, -0.2262, -0.0682, -0.2866,  0.3940])
>>> torch.positive(t)
tensor([ 0.0090, -0.2262, -0.0682, -0.2866,  0.3940])
","Traceback (most recent call last):
  File ""example.py"", line 4, in <module>
    torch.positive(t)
AttributeError: module 'torch' has no attribute 'positive'
"
"
 torch. pow ( input ,  exponent ,  * ,  out )   → ¶",">>> a=torch.randn(4)
>>> a
tensor([ 0.4331,  1.2475,  0.6834, -0.2791])
>>> torch.pow(a,2)
tensor([ 0.1875,  1.5561,  0.4670,  0.0779])
>>> exp=torch.arange(1.,5.)>>> a=torch.arange(1.,5.)
>>> a
tensor([ 1.,  2.,  3.,  4.])
>>> exp
tensor([ 1.,  2.,  3.,  4.])
>>> torch.pow(a,exp)
tensor([   1.,    4.,   27.,  256.])
","  File ""example.py"", line 5
    exp=torch.arange(1.,5.)a=torch.arange(1.,5.)
                           ^
SyntaxError: invalid syntax
"
"
 torch. round ( input ,  * ,  decimals ,  out )   → ¶",">>> torch.round(torch.tensor((4.7,-2.3,9.1,-7.7)))
tensor([ 5.,  -2.,  9., -8.])>>> # Values equidistant from two integers are rounded towards the
>>> #   the nearest even value (zero is treated as even)
>>> torch.round(torch.tensor([-0.5,0.5,1.5,2.5]))
tensor([-0., 0., 2., 2.])>>> # A positive decimals argument rounds to the to that decimal place
>>> torch.round(torch.tensor([0.1234567]),decimals=3)
tensor([0.1230])>>> # A negative decimals argument rounds to the left of the decimal
>>> torch.round(torch.tensor([1200.1234567]),decimals=-3)
tensor([1000.])
","Traceback (most recent call last):
  File ""example.py"", line 3, in <module>
    tensor([ 5.,  -2.,  9., -8.])# Values equidistant from two integers are rounded towards the
NameError: name 'tensor' is not defined
"
"
 torch. aminmax ( input ,  * ,  dim=None ,  keepdim=False ,  out=None) ,  Tensor ) ¶",">>> torch.aminmax(torch.tensor([1,-3,5]))
torch.return_types.aminmax(
min=tensor(-3),
max=tensor(5))>>> # aminmax propagates NaNs
>>> torch.aminmax(torch.tensor([1,-3,5,torch.nan]))
torch.return_types.aminmax(
min=tensor(nan),
max=tensor(nan))>>> t=torch.arange(10).view(2,5)
>>> t
tensor([[0, 1, 2, 3, 4],
        [5, 6, 7, 8, 9]])
>>> t.aminmax(dim=0,keepdim=True)
torch.return_types.aminmax(
min=tensor([[0, 1, 2, 3, 4]]),
max=tensor([[5, 6, 7, 8, 9]]))
","  File ""example.py"", line 3
    max=tensor(5))# aminmax propagates NaNs
                 ^
SyntaxError: unmatched ')'
"
