Raw_API,Full_API,Description
tf.data.experimental.save,"tf.data.experimental.save(
    dataset, path, compression=None, shard_func=None, checkpoint_args=None
)
",Saves the content of the given dataset. (deprecated)
tf.data.experimental.scan,"tf.data.experimental.scan(
    initial_state, scan_func
)
",A transformation that scans a function across an input dataset. (deprecated)View aliases
tf.data.experimental.service.CrossTrainerCache,"tf.data.experimental.service.CrossTrainerCache(
    trainer_id
)
",Options related to the tf.data service cross trainer cache.View aliases
tf.data.experimental.service.DispatchServer,"tf.data.experimental.service.DispatchServer(
    config=None, start=True
)
",An in-process tf.data service dispatch server.
tf.data.experimental.service.DispatcherConfig,"tf.data.experimental.service.DispatcherConfig(
    port=0,
    protocol=None,
    work_dir=None,
    fault_tolerant_mode=False,
    worker_addresses=None,
    job_gc_check_interval_ms=None,
    job_gc_timeout_ms=None
)
",Configuration class for tf.data service dispatchers.View aliases
tf.data.experimental.service.WorkerConfig,"tf.data.experimental.service.WorkerConfig(
    dispatcher_address,
    worker_address=None,
    port=0,
    protocol=None,
    heartbeat_interval_ms=None,
    dispatcher_timeout_ms=None
)
",Configuration class for tf.data service dispatchers.View aliases
tf.data.experimental.service.WorkerServer,"tf.data.experimental.service.WorkerServer(
    config, start=True
)
",An in-process tf.data service worker server.
tf.data.experimental.service.distribute,"tf.data.experimental.service.distribute(
    processing_mode,
    service,
    job_name=None,
    consumer_index=None,
    num_consumers=None,
    max_outstanding_requests=None,
    data_transfer_protocol=None,
    compression='AUTO',
    cross_trainer_cache=None,
    target_workers='AUTO'
)
",A transformation that moves dataset processing to the tf.data service.View aliases
tf.data.experimental.service.from_dataset_id,"tf.data.experimental.service.from_dataset_id(
    processing_mode,
    service,
    dataset_id,
    element_spec=None,
    job_name=None,
    consumer_index=None,
    num_consumers=None,
    max_outstanding_requests=None,
    data_transfer_protocol=None,
    cross_trainer_cache=None,
    target_workers='AUTO'
)
",Creates a dataset which reads data from the tf.data service.View aliases
tf.data.experimental.service.register_dataset,"tf.data.experimental.service.register_dataset(
    service, dataset, compression='AUTO', dataset_id=None
)
",Registers a dataset with the tf.data service.View aliases
tf.data.experimental.shuffle_and_repeat,"tf.data.experimental.shuffle_and_repeat(
    buffer_size, count=None, seed=None
)
","Shuffles and repeats a Dataset, reshuffling with each repetition. (deprecated)View aliases"
tf.data.experimental.snapshot,"tf.data.experimental.snapshot(
    path, compression='AUTO', reader_func=None, shard_func=None
)
",API to persist the output of the input dataset. (deprecated)View aliases
tf.data.experimental.table_from_dataset,"tf.data.experimental.table_from_dataset(
    dataset=None,
    num_oov_buckets=0,
    vocab_size=None,
    default_value=None,
    hasher_spec=lookup_ops.FastHashSpec,
    key_dtype=tf.dtypes.string,
    name=None
)
",Returns a lookup table based on the given dataset.View aliases
tf.data.experimental.take_while,"tf.data.experimental.take_while(
    predicate
)
",A transformation that stops dataset iteration based on a predicate. (deprecated)View aliases
tf.data.experimental.to_variant,"tf.data.experimental.to_variant(
    dataset
)
",Returns a variant representing the given dataset.View aliases
tf.debugging.Assert,"tf.debugging.Assert(
    condition, data, summarize=None, name=None
)
",Asserts that the given condition is true.View aliases
tf.debugging.assert_all_finite,"tf.debugging.assert_all_finite(
    x, message, name=None
)
",Assert that the tensor does not contain any NaN's or Inf's.
tf.debugging.assert_equal,"tf.debugging.assert_equal(
    x, y, message=None, summarize=None, name=None
)
",Assert the condition x == y holds element-wise.View aliases
tf.debugging.assert_greater,"tf.debugging.assert_greater(
    x, y, message=None, summarize=None, name=None
)
",Assert the condition x > y holds element-wise.View aliases
tf.debugging.assert_greater_equal,"tf.debugging.assert_greater_equal(
    x, y, message=None, summarize=None, name=None
)
",Assert the condition x >= y holds element-wise.
tf.debugging.assert_integer,"tf.debugging.assert_integer(
    x, message=None, name=None
)
",Assert that x is of integer dtype.
tf.debugging.assert_less,"tf.debugging.assert_less(
    x, y, message=None, summarize=None, name=None
)
",Assert the condition x < y holds element-wise.View aliases
tf.debugging.assert_less_equal,"tf.debugging.assert_less_equal(
    x, y, message=None, summarize=None, name=None
)
",Assert the condition x <= y holds element-wise.
tf.debugging.assert_near,"tf.debugging.assert_near(
    x, y, rtol=None, atol=None, message=None, summarize=None, name=None
)
",Assert the condition x and y are close element-wise.
tf.debugging.assert_negative,"tf.debugging.assert_negative(
    x, message=None, summarize=None, name=None
)
",Assert the condition x < 0 holds element-wise.
tf.debugging.assert_non_negative,"tf.debugging.assert_non_negative(
    x, message=None, summarize=None, name=None
)
",Assert the condition x >= 0 holds element-wise.
tf.debugging.assert_non_positive,"tf.debugging.assert_non_positive(
    x, message=None, summarize=None, name=None
)
",Assert the condition x <= 0 holds element-wise.
tf.debugging.assert_none_equal,"tf.debugging.assert_none_equal(
    x, y, summarize=None, message=None, name=None
)
",Assert the condition x != y holds for all elements.
tf.debugging.assert_positive,"tf.debugging.assert_positive(
    x, message=None, summarize=None, name=None
)
",Assert the condition x > 0 holds element-wise.
tf.debugging.assert_proper_iterable,"tf.debugging.assert_proper_iterable(
    values
)
","Static assert that values is a ""proper"" iterable.View aliases"
tf.debugging.assert_rank,"tf.debugging.assert_rank(
    x, rank, message=None, name=None
)
",Assert that x has rank equal to rank.View aliases
tf.debugging.assert_rank_at_least,"tf.debugging.assert_rank_at_least(
    x, rank, message=None, name=None
)
",Assert that x has rank of at least rank.
tf.debugging.assert_rank_in,"tf.debugging.assert_rank_in(
    x, ranks, message=None, name=None
)
",Assert that x has a rank in ranks.
tf.debugging.assert_same_float_dtype,"tf.debugging.assert_same_float_dtype(
    tensors=None, dtype=None
)
",Validate and return float type based on tensors and dtype.View aliases
tf.debugging.assert_scalar,"tf.debugging.assert_scalar(
    tensor, message=None, name=None
)
",Asserts that the given tensor is a scalar.
tf.debugging.assert_shapes,"tf.debugging.assert_shapes(
    shapes, data=None, summarize=None, message=None, name=None
)
",Assert tensor shapes and dimension size relationships between tensors.
tf.debugging.assert_shapes,tf.debugging.assert_shapes([,"Assert tensor shapes and dimension size relationships between tensors.tf.debugging.assert_shapes(    shapes, data=None, summarize=None, message=None, name=None)This Op checks that a collection of tensors shape relationshipssatisfies given constraints.Example:n = 10q = 3d = 7x = tf.zeros([n,q])y = tf.ones([n,d])param = tf.Variable([1.0, 2.0, 3.0])scalar = 1.0tf.debugging.assert_shapes([ (x, ('N', 'Q')), (y, ('N', 'D')), (param, ('Q',)), (scalar, ()),])"
tf.debugging.assert_type,"tf.debugging.assert_type(
    tensor, tf_type, message=None, name=None
)
",Asserts that the given Tensor is of the specified type.
tf.debugging.check_numerics,"tf.debugging.check_numerics(
    tensor, message, name=None
)
",Checks a tensor for NaN and Inf values.View aliases
tf.debugging.enable_check_numerics,"tf.debugging.enable_check_numerics(
    stack_height_limit=30, path_length_limit=50
)
",Enable tensor numerics checking in an eager/graph unified fashion.View aliases
tf.debugging.experimental.enable_dump_debug_info,"tf.debugging.experimental.enable_dump_debug_info(
    dump_root,
    tensor_debug_mode=DEFAULT_TENSOR_DEBUG_MODE,
    circular_buffer_size=1000,
    op_regex=None,
    tensor_dtypes=None
)
",Enable dumping debugging information from a TensorFlow program.View aliases
tf.debugging.is_numeric_tensor,"tf.debugging.is_numeric_tensor(
    tensor
)
",Returns True if the elements of tensor are numbers.View aliases
tf.debugging.set_log_device_placement,"tf.debugging.set_log_device_placement(
    enabled
)
",Turns logging for device placement decisions on or off.View aliases
tf.device,"tf.device(
    device_name
)
",Specifies the device for ops created/executed in this context.
tf.distribute.HierarchicalCopyAllReduce,"tf.distribute.HierarchicalCopyAllReduce(
    num_packs=1
)
",Hierarchical copy all-reduce implementation of CrossDeviceOps.Inherits From: CrossDeviceOpsView aliases
tf.distribute.InputContext,"tf.distribute.InputContext(
    num_input_pipelines=1, input_pipeline_id=0, num_replicas_in_sync=1
)
",A class wrapping information needed by an input function.View aliases
tf.distribute.InputOptions,"tf.distribute.InputOptions(
    experimental_fetch_to_device=None,
    experimental_replication_mode=tf.distribute.InputReplicationMode.PER_WORKER,
    experimental_place_dataset_on_device=False,
    experimental_per_replica_buffer_size=1
)
",Run options for experimental_distribute_dataset(s_from_function).
tf.distribute.MirroredStrategy,"tf.distribute.MirroredStrategy(
    devices=None, cross_device_ops=None
)
",Synchronous training across multiple replicas on one machine.Inherits From: Strategy
tf.distribute.MultiWorkerMirroredStrategy,"tf.distribute.MultiWorkerMirroredStrategy(
    cluster_resolver=None, communication_options=None
)
",A distribution strategy for synchronous training on multiple workers.Inherits From: Strategy
tf.distribute.NcclAllReduce,"tf.distribute.NcclAllReduce(
    num_packs=1
)
",NCCL all-reduce implementation of CrossDeviceOps.Inherits From: CrossDeviceOpsView aliases
tf.distribute.OneDeviceStrategy,"tf.distribute.OneDeviceStrategy(
    device
)
",A distribution strategy for running on a single device.Inherits From: Strategy
tf.distribute.experimental.ParameterServerStrategy,"tf.distribute.experimental.ParameterServerStrategy(
    cluster_resolver, variable_partitioner=None
)
",An multi-worker tf.distribute strategy with parameter servers.Inherits From: StrategyView aliases
tf.distribute.ReductionToOneDevice,"tf.distribute.ReductionToOneDevice(
    reduce_to_device=None, accumulation_fn=None
)
",A CrossDeviceOps implementation that copies values to one device to reduce.Inherits From: CrossDeviceOpsView aliases
tf.distribute.ReplicaContext,"tf.distribute.ReplicaContext(
    strategy, replica_id_in_sync_group
)
",A class with a collection of APIs that can be called in a replica context.
tf.distribute.RunOptions,"tf.distribute.RunOptions(
    experimental_enable_dynamic_batch_size=True,
    experimental_bucketizing_dynamic_shape=False,
    experimental_xla_options=None
)
",Run options for strategy.run.View aliases
tf.distribute.Server,"tf.distribute.Server(
    server_or_cluster_def,
    job_name=None,
    task_index=None,
    protocol=None,
    config=None,
    start=True
)
","An in-process TensorFlow server, for use in distributed training.View aliases"
tf.distribute.Strategy,"tf.distribute.Strategy(
    extended
)
",A state & compute distribution policy on a list of devices.
tf.distribute.StrategyExtended,"tf.distribute.StrategyExtended(
    container_strategy
)
",Additional APIs for algorithms that need to be distribution-aware.
tf.distribute.TPUStrategy,"tf.distribute.TPUStrategy(
    tpu_cluster_resolver=None,
    experimental_device_assignment=None,
    experimental_spmd_xla_partitioning=False
)
",Synchronous training on TPUs and TPU Pods.Inherits From: Strategy
tf.distribute.cluster_resolver.GCEClusterResolver,"tf.distribute.cluster_resolver.GCEClusterResolver(
    project,
    zone,
    instance_group,
    port,
    task_type='worker',
    task_id=0,
    rpc_layer='grpc',
    credentials='default',
    service=None
)
",ClusterResolver for Google Compute Engine.Inherits From: ClusterResolverView aliases
tf.distribute.cluster_resolver.KubernetesClusterResolver,"tf.distribute.cluster_resolver.KubernetesClusterResolver(
    job_to_label_mapping=None,
    tf_server_port=8470,
    rpc_layer='grpc',
    override_client=None
)
",ClusterResolver for Kubernetes.Inherits From: ClusterResolverView aliases
tf.distribute.cluster_resolver.SimpleClusterResolver,"tf.distribute.cluster_resolver.SimpleClusterResolver(
    cluster_spec,
    master='',
    task_type=None,
    task_id=None,
    environment='',
    num_accelerators=None,
    rpc_layer=None
)
",Simple implementation of ClusterResolver that accepts all attributes.Inherits From: ClusterResolverView aliases
tf.distribute.cluster_resolver.SlurmClusterResolver,"tf.distribute.cluster_resolver.SlurmClusterResolver(
    jobs=None,
    port_base=8888,
    gpus_per_node=None,
    gpus_per_task=None,
    tasks_per_node=None,
    auto_set_gpu=True,
    rpc_layer='grpc'
)
",ClusterResolver for system with Slurm workload manager.Inherits From: ClusterResolverView aliases
tf.distribute.cluster_resolver.TFConfigClusterResolver,"tf.distribute.cluster_resolver.TFConfigClusterResolver(
    task_type=None, task_id=None, rpc_layer=None, environment=None
)
",Implementation of a ClusterResolver which reads the TF_CONFIG EnvVar.Inherits From: ClusterResolverView aliases
tf.distribute.cluster_resolver.TPUClusterResolver,"tf.distribute.cluster_resolver.TPUClusterResolver(
    tpu=None,
    zone=None,
    project=None,
    job_name='worker',
    coordinator_name=None,
    coordinator_address=None,
    credentials='default',
    service=None,
    discovery_url=None
)
",Cluster Resolver for Google Cloud TPUs.Inherits From: ClusterResolverView aliases
tf.distribute.cluster_resolver.UnionResolver,"tf.distribute.cluster_resolver.UnionResolver(
    *args, **kwargs
)
",Performs a union on underlying ClusterResolvers.Inherits From: ClusterResolverView aliases
tf.distribute.experimental.coordinator.ClusterCoordinator,"tf.distribute.experimental.coordinator.ClusterCoordinator(
    strategy
)
",An object to schedule and coordinate remote function execution.View aliases
tf.distribute.experimental.coordinator.PerWorkerValues,"tf.distribute.experimental.coordinator.PerWorkerValues(
    values
)
","A container that holds a list of values, one value per worker.View aliases"
tf.distribute.experimental.CentralStorageStrategy,"tf.distribute.experimental.CentralStorageStrategy(
    compute_devices=None, parameter_device=None
)
",A one-machine strategy that puts all variables on a single device.Inherits From: Strategy
tf.distribute.experimental.CollectiveHints,"tf.distribute.experimental.CollectiveHints(
    bytes_per_pack=0, timeout_seconds=None
)
",Hints for collective operations like AllReduce.View aliases
tf.distribute.experimental.CommunicationOptions,"tf.distribute.experimental.CommunicationOptions(
    bytes_per_pack=0,
    timeout_seconds=None,
    implementation=tf.distribute.experimental.CollectiveCommunication.AUTO
)
",Options for cross device communications like All-reduce.View aliases
tf.distribute.experimental.MultiWorkerMirroredStrategy,"tf.distribute.experimental.MultiWorkerMirroredStrategy(
    communication=tf.distribute.experimental.CollectiveCommunication.AUTO,
    cluster_resolver=None
)
","A distribution strategy for synchronous training on multiple workers.Inherits From: MultiWorkerMirroredStrategy, Strategy"
tf.distribute.experimental.ParameterServerStrategy,"tf.distribute.experimental.ParameterServerStrategy(
    cluster_resolver, variable_partitioner=None
)
",An multi-worker tf.distribute strategy with parameter servers.Inherits From: StrategyView aliases
tf.distribute.experimental.PreemptionCheckpointHandler,"tf.distribute.experimental.PreemptionCheckpointHandler(
    cluster_resolver,
    checkpoint_or_checkpoint_manager,
    checkpoint_dir=None,
    termination_config=None
)
",Preemption and error handler for synchronous training.
tf.distribute.experimental.TPUStrategy,"tf.distribute.experimental.TPUStrategy(
    tpu_cluster_resolver=None, device_assignment=None
)
",Synchronous training on TPUs and TPU Pods.Inherits From: Strategy
tf.distribute.experimental.TerminationConfig,"tf.distribute.experimental.TerminationConfig(
    termination_watcher_fn=None, exit_fn=None, grace_period=None
)
",Customization of PreemptionCheckpointHandler for various platforms.
tf.distribute.experimental.ValueContext,"tf.distribute.experimental.ValueContext(
    replica_id_in_sync_group=0, num_replicas_in_sync=1
)
",A class wrapping information needed by a distribute function.
tf.distribute.experimental.coordinator.ClusterCoordinator,"tf.distribute.experimental.coordinator.ClusterCoordinator(
    strategy
)
",An object to schedule and coordinate remote function execution.View aliases
tf.distribute.experimental.coordinator.PerWorkerValues,"tf.distribute.experimental.coordinator.PerWorkerValues(
    values
)
","A container that holds a list of values, one value per worker.View aliases"
tf.distribute.experimental.partitioners.FixedShardsPartitioner,"tf.distribute.experimental.partitioners.FixedShardsPartitioner(
    num_shards
)
",Partitioner that allocates a fixed number of shards.Inherits From: Partitioner
tf.distribute.experimental.partitioners.MaxSizePartitioner,"tf.distribute.experimental.partitioners.MaxSizePartitioner(
    max_shard_bytes, max_shards=None, bytes_per_string=16
)
",Partitioner that keeps shards below max_shard_bytes.Inherits From: Partitioner
tf.distribute.experimental.partitioners.MinSizePartitioner,"tf.distribute.experimental.partitioners.MinSizePartitioner(
    min_shard_bytes=(256 << 10), max_shards=1, bytes_per_string=16
)
",Partitioner that allocates a minimum size per shard.Inherits From: Partitioner
tf.distribute.experimental_set_strategy,"tf.distribute.experimental_set_strategy(
    strategy
)
",Set a tf.distribute.Strategy as current without with strategy.scope().View aliases
tf.math.divide,"tf.math.divide(
    x, y, name=None
)
",Computes Python style division of x by y.View aliases
tf.dtypes.as_dtype,"tf.dtypes.as_dtype(
    type_value
)
",Converts the given type_value to a DType.View aliases
tf.cast,"tf.cast(
    x, dtype, name=None
)
",Casts a tensor to a new type.View aliases
tf.dtypes.complex,"tf.dtypes.complex(
    real, imag, name=None
)
",Converts two real numbers to a complex number.View aliases
tf.dtypes.saturate_cast,"tf.dtypes.saturate_cast(
    value, dtype, name=None
)
",Performs a safe saturating cast of value to dtype.View aliases
tf.dynamic_partition,"tf.dynamic_partition(
    data, partitions, num_partitions, name=None
)
",Partitions data into num_partitions tensors using indices from partitions.View aliases
tf.dynamic_stitch,"tf.dynamic_stitch(
    indices, data, name=None
)
",Interleave the values from the data tensors into a single tensor.View aliases
tf.edit_distance,"tf.edit_distance(
    hypothesis, truth, normalize=True, name='edit_distance'
)
",Computes the Levenshtein distance between sequences.View aliases
tf.linalg.eig,"tf.linalg.eig(
    tensor, name=None
)
",Computes the eigen decomposition of a batch of matrices.View aliases
tf.linalg.eigvals,"tf.linalg.eigvals(
    tensor, name=None
)
",Computes the eigenvalues of one or more matrices.View aliases
tf.einsum,"tf.einsum(
    equation, *inputs, **kwargs
)
",Tensor contraction over specified indices and outer product.View aliases
tf.ensure_shape,"tf.ensure_shape(
    x, shape, name=None
)
",Updates the shape of a tensor and checks at runtime that the shape holds.View aliases
tf.math.equal,"tf.math.equal(
    x, y, name=None
)
",Returns the truth value of (x == y) element-wise.View aliases
tf.errors.AbortedError,"tf.errors.AbortedError(
    node_def, op, message, *args
)
","The operation was aborted, typically due to a concurrent action.Inherits From: OpErrorView aliases"
tf.errors.AlreadyExistsError,"tf.errors.AlreadyExistsError(
    node_def, op, message, *args
)
",Raised when an entity that we attempted to create already exists.Inherits From: OpErrorView aliases
tf.errors.CancelledError,"tf.errors.CancelledError(
    node_def, op, message, *args
)
",Raised when an operation or step is cancelled.Inherits From: OpErrorView aliases
tf.errors.DataLossError,"tf.errors.DataLossError(
    node_def, op, message, *args
)
",Raised when unrecoverable data loss or corruption is encountered.Inherits From: OpErrorView aliases
tf.errors.DeadlineExceededError,"tf.errors.DeadlineExceededError(
    node_def, op, message, *args
)
",Raised when a deadline expires before an operation could complete.Inherits From: OpErrorView aliases
tf.errors.FailedPreconditionError,"tf.errors.FailedPreconditionError(
    node_def, op, message, *args
)
",Operation was rejected because the system is not in a state to execute it.Inherits From: OpErrorView aliases
tf.errors.InternalError,"tf.errors.InternalError(
    node_def, op, message, *args
)
",Raised when the system experiences an internal error.Inherits From: OpErrorView aliases
tf.errors.InvalidArgumentError,"tf.errors.InvalidArgumentError(
    node_def, op, message, *args
)
",Raised when an operation receives an invalid argument.Inherits From: OpErrorView aliases
tf.errors.NotFoundError,"tf.errors.NotFoundError(
    node_def, op, message, *args
)
","Raised when a requested entity (e.g., a file or directory) was not found.Inherits From: OpErrorView aliases"
tf.errors.OpError,"tf.errors.OpError(
    node_def, op, message, error_code, *args
)
",The base class for TensorFlow exceptions.View aliases
tf.errors.OperatorNotAllowedInGraphError,"tf.errors.OperatorNotAllowedInGraphError(
    *args, **kwargs
)
",An error is raised for unsupported operator in Graph execution.
tf.errors.OutOfRangeError,"tf.errors.OutOfRangeError(
    node_def, op, message, *args
)
",Raised when an operation iterates past the valid input range.Inherits From: OpErrorView aliases
tf.errors.PermissionDeniedError,"tf.errors.PermissionDeniedError(
    node_def, op, message, *args
)
",Raised when the caller does not have permission to run an operation.Inherits From: OpErrorView aliases
tf.errors.ResourceExhaustedError,"tf.errors.ResourceExhaustedError(
    node_def, op, message, *args
)
",Some resource has been exhausted.Inherits From: OpErrorView aliases
tf.errors.UnauthenticatedError,"tf.errors.UnauthenticatedError(
    node_def, op, message, *args
)
",The request does not have valid authentication credentials.Inherits From: OpErrorView aliases
tf.errors.UnavailableError,"tf.errors.UnavailableError(
    node_def, op, message, *args
)
",Raised when the runtime is currently unavailable.Inherits From: OpErrorView aliases
tf.errors.UnimplementedError,"tf.errors.UnimplementedError(
    node_def, op, message, *args
)
",Raised when an operation has not been implemented.Inherits From: OpErrorView aliases
tf.errors.UnknownError,"tf.errors.UnknownError(
    node_def, op, message, *args
)
",Unknown error.Inherits From: OpErrorView aliases
tf.estimator.BaselineClassifier,"tf.estimator.BaselineClassifier(
    model_dir=None,
    n_classes=2,
    weight_column=None,
    label_vocabulary=None,
    optimizer='Ftrl',
    config=None,
    loss_reduction=tf.losses.Reduction.SUM_OVER_BATCH_SIZE
)
","A classifier that can establish a simple baseline.Warning: Estimators are not recommended for new code.  Estimators runInherits From: Estimator, Estimator"
tf.estimator.BaselineEstimator,"tf.estimator.BaselineEstimator(
    head, model_dir=None, optimizer='Ftrl', config=None
)
","An estimator that can establish a simple baseline.Warning: Estimators are not recommended for new code.  Estimators runInherits From: Estimator, Estimator"
tf.estimator.BaselineRegressor,"tf.estimator.BaselineRegressor(
    model_dir=None,
    label_dimension=1,
    weight_column=None,
    optimizer='Ftrl',
    config=None,
    loss_reduction=tf.losses.Reduction.SUM_OVER_BATCH_SIZE
)
","A regressor that can establish a simple baseline.Warning: Estimators are not recommended for new code.  Estimators runInherits From: Estimator, Estimator"
tf.estimator.BestExporter,"tf.estimator.BestExporter(
    name='best_exporter',
    serving_input_receiver_fn=None,
    event_file_pattern='eval/*.tfevents.*',
    compare_fn=_loss_smaller,
    assets_extra=None,
    as_text=False,
    exports_to_keep=5
)
",This class exports the serving graph and checkpoints of the best models.Inherits From: ExporterView aliases
tf.estimator.BinaryClassHead,"tf.estimator.BinaryClassHead(
    weight_column=None,
    thresholds=None,
    label_vocabulary=None,
    loss_reduction=tf.losses.Reduction.SUM_OVER_BATCH_SIZE,
    loss_fn=None,
    name=None
)
",Creates a Head for single label binary classification.Inherits From: HeadView aliases
tf.estimator.CheckpointSaverHook,"tf.estimator.CheckpointSaverHook(
    checkpoint_dir,
    save_secs=None,
    save_steps=None,
    saver=None,
    checkpoint_basename='model.ckpt',
    scaffold=None,
    listeners=None,
    save_graph_def=True
)
",Saves checkpoints every N steps or seconds.Inherits From: SessionRunHookView aliases
tf.estimator.DNNClassifier,"tf.estimator.DNNClassifier(
    hidden_units,
    feature_columns,
    model_dir=None,
    n_classes=2,
    weight_column=None,
    label_vocabulary=None,
    optimizer='Adagrad',
    activation_fn=tf.nn.relu,
    dropout=None,
    config=None,
    warm_start_from=None,
    loss_reduction=tf.losses.Reduction.SUM_OVER_BATCH_SIZE,
    batch_norm=False
)
","A classifier for TensorFlow DNN models.Warning: Estimators are not recommended for new code.  Estimators runInherits From: Estimator, Estimator"
tf.estimator.DNNEstimator,"tf.estimator.DNNEstimator(
    head,
    hidden_units,
    feature_columns,
    model_dir=None,
    optimizer='Adagrad',
    activation_fn=tf.nn.relu,
    dropout=None,
    config=None,
    warm_start_from=None,
    batch_norm=False
)
","An estimator for TensorFlow DNN models with user-specified head.Warning: Estimators are not recommended for new code.  Estimators runInherits From: Estimator, Estimator"
tf.estimator.DNNLinearCombinedClassifier,"tf.estimator.DNNLinearCombinedClassifier(
    model_dir=None,
    linear_feature_columns=None,
    linear_optimizer='Ftrl',
    dnn_feature_columns=None,
    dnn_optimizer='Adagrad',
    dnn_hidden_units=None,
    dnn_activation_fn=tf.nn.relu,
    dnn_dropout=None,
    n_classes=2,
    weight_column=None,
    label_vocabulary=None,
    config=None,
    warm_start_from=None,
    loss_reduction=tf.losses.Reduction.SUM_OVER_BATCH_SIZE,
    batch_norm=False,
    linear_sparse_combiner='sum'
)
","An estimator for TensorFlow Linear and DNN joined classification models.Warning: Estimators are not recommended for new code.  Estimators runInherits From: Estimator, Estimator"
tf.estimator.DNNLinearCombinedEstimator,"tf.estimator.DNNLinearCombinedEstimator(
    head,
    model_dir=None,
    linear_feature_columns=None,
    linear_optimizer='Ftrl',
    dnn_feature_columns=None,
    dnn_optimizer='Adagrad',
    dnn_hidden_units=None,
    dnn_activation_fn=tf.nn.relu,
    dnn_dropout=None,
    config=None,
    batch_norm=False,
    linear_sparse_combiner='sum'
)
","An estimator for TensorFlow Linear and DNN joined models with custom head.Warning: Estimators are not recommended for new code.  Estimators runInherits From: Estimator, Estimator"
tf.estimator.DNNLinearCombinedRegressor,"tf.estimator.DNNLinearCombinedRegressor(
    model_dir=None,
    linear_feature_columns=None,
    linear_optimizer='Ftrl',
    dnn_feature_columns=None,
    dnn_optimizer='Adagrad',
    dnn_hidden_units=None,
    dnn_activation_fn=tf.nn.relu,
    dnn_dropout=None,
    label_dimension=1,
    weight_column=None,
    config=None,
    warm_start_from=None,
    loss_reduction=tf.losses.Reduction.SUM_OVER_BATCH_SIZE,
    batch_norm=False,
    linear_sparse_combiner='sum'
)
","An estimator for TensorFlow Linear and DNN joined models for regression.Warning: Estimators are not recommended for new code.  Estimators runInherits From: Estimator, Estimator"
tf.estimator.DNNRegressor,"tf.estimator.DNNRegressor(
    hidden_units,
    feature_columns,
    model_dir=None,
    label_dimension=1,
    weight_column=None,
    optimizer='Adagrad',
    activation_fn=tf.nn.relu,
    dropout=None,
    config=None,
    warm_start_from=None,
    loss_reduction=tf.losses.Reduction.SUM_OVER_BATCH_SIZE,
    batch_norm=False
)
","A regressor for TensorFlow DNN models.Warning: Estimators are not recommended for new code.  Estimators runInherits From: Estimator, Estimator"
tf.estimator.Estimator,"tf.estimator.Estimator(
    model_fn, model_dir=None, config=None, params=None, warm_start_from=None
)
",Estimator class to train and evaluate TensorFlow models.Warning: Estimators are not recommended for new code.  Estimators runInherits From: Estimator
tf.estimator.EstimatorSpec,"tf.estimator.EstimatorSpec(
    mode,
    predictions=None,
    loss=None,
    train_op=None,
    eval_metric_ops=None,
    export_outputs=None,
    training_chief_hooks=None,
    training_hooks=None,
    scaffold=None,
    evaluation_hooks=None,
    prediction_hooks=None
)
",Ops and objects returned from a model_fn and passed to an Estimator.View aliases
tf.estimator.EvalSpec,"tf.estimator.EvalSpec(
    input_fn,
    steps=100,
    name=None,
    hooks=None,
    exporters=None,
    start_delay_secs=120,
    throttle_secs=600
)
","Configuration for the ""eval"" part for the train_and_evaluate call.View aliases"
tf.estimator.FeedFnHook,"tf.estimator.FeedFnHook(
    feed_fn
)
",Runs feed_fn and sets the feed_dict accordingly.Inherits From: SessionRunHookView aliases
tf.estimator.FinalExporter,"tf.estimator.FinalExporter(
    name, serving_input_receiver_fn, assets_extra=None, as_text=False
)
",This class exports the serving graph and checkpoints at the end.Inherits From: ExporterView aliases
tf.estimator.FinalOpsHook,"tf.estimator.FinalOpsHook(
    final_ops, final_ops_feed_dict=None
)
",A hook which evaluates Tensors at the end of a session.Inherits From: SessionRunHookView aliases
tf.estimator.GlobalStepWaiterHook,"tf.estimator.GlobalStepWaiterHook(
    wait_until_step
)
",Delays execution until global step reaches wait_until_step.Inherits From: SessionRunHookView aliases
tf.estimator.LatestExporter,"tf.estimator.LatestExporter(
    name,
    serving_input_receiver_fn,
    assets_extra=None,
    as_text=False,
    exports_to_keep=5
)
",This class regularly exports the serving graph and checkpoints.Inherits From: ExporterView aliases
tf.estimator.LinearClassifier,"tf.estimator.LinearClassifier(
    feature_columns,
    model_dir=None,
    n_classes=2,
    weight_column=None,
    label_vocabulary=None,
    optimizer='Ftrl',
    config=None,
    warm_start_from=None,
    loss_reduction=tf.losses.Reduction.SUM_OVER_BATCH_SIZE,
    sparse_combiner='sum'
)
","Linear classifier model.Warning: Estimators are not recommended for new code.  Estimators runInherits From: Estimator, Estimator"
tf.estimator.LinearEstimator,"tf.estimator.LinearEstimator(
    head,
    feature_columns,
    model_dir=None,
    optimizer='Ftrl',
    config=None,
    sparse_combiner='sum',
    warm_start_from=None
)
","An estimator for TensorFlow linear models with user-specified head.Warning: Estimators are not recommended for new code.  Estimators runInherits From: Estimator, Estimator"
